srcLabelIx,srcLabelName,dstLabelId
357,Anthus pratensis,1117
358,Anthus richardi,1118
359,Anthus roseatus,1119
360,Anthus rubescens,1120
361,Anthus rufulus,1121
362,Anthus similis,1122
363,Anthus spinoletta,1124
364,Anthus spragueii,1125
365,Anthus sylvanus,1126
366,Anthus trivialis,1127
367,Antigone antigone,1130
368,Antigone canadensis,1132
369,Antigone rubicunda,1134
370,Antigone vipio,1136
371,Antilophia bokermanni,1141
372,Antilophia galeata,1142
373,Antrostomus arizonae,1145
374,Antrostomus badius,1146
375,Antrostomus carolinensis,1147
376,Antrostomus noctitherus,1150
377,Antrostomus ridgwayi,1151
378,Antrostomus rufus,1152
379,Antrostomus salvini,1153
380,Antrostomus saturatus,1154
381,Antrostomus sericocaudatus,1155
382,Antrostomus vociferus,1156
383,Anumbius annumbi,1159
384,Anurolimnas castaneiceps,1169
385,Anurolimnas fasciatus,1171
386,Anurolimnas viridis,1173
387,Apalis alticola,1184
388,Apalis chapini,1187
389,Apalis cinerea,1190
390,Apalis flavida,1191
391,Apalis jacksoni,1196
392,Apalis melanocephala,1199
393,Apalis personata,1201
394,Apalis porphyrolaema,1202
395,Apalis ruddi,1203
396,Apalis rufogularis,1204
397,Apalis sharpii,1205
398,Apalis thoracica,1207
399,Apaloderma narina,1209
400,Apaloderma vittatum,1210
401,Aphanotriccus audax,1214
402,Aphanotriccus capitalis,1215
403,Aphelocephala leucopsis,1216
404,Aphelocoma californica,1219
405,Aphelocoma coerulescens,1220
406,Aphelocoma ultramarina,1222
407,Aphelocoma unicolor,1223
408,Aphelocoma wollweberi,1224
409,Aphelocoma woodhouseii,1225
410,Aphrastura spinicauda,1229
411,Apis mellifera,1234
412,Aplonis atrifusca,1247
413,Aplonis grandis,1254
414,Aplonis metallica,1257
415,Aplonis mysolensis,1259
416,Aplonis opaca,1260
417,Aplonis panayensis,1261
418,Aplonis tabuensis,1263
419,Aprosmictus erythropterus,1269
420,Aptenodytes patagonicus,1272
421,Apteryx mantelli,1276
422,Apus affinis,1281
423,Apus apus,1283
424,Apus caffer,1289
425,Apus melba,1293
426,Apus nipalensis,1296
427,Apus pacificus,1297
428,Apus pallidus,1298
429,Apus unicolor,1300
430,Aquila adalberti,1305
431,Aquila chrysaetos,1308
432,Aquila heliaca,1314
433,Aquila nipalensis,1315
434,Ara ambiguus,1321
435,Ara ararauna,1322
436,Ara chloropterus,1323
437,Ara glaucogularis,1324
438,Ara macao,1325
439,Ara militaris,1326
440,Ara severus,1328
441,Arachnothera chrysogenys,1330
442,Arachnothera crassirostris,1332
443,Arachnothera flavigaster,1336
444,Arachnothera longirostra,1338
445,Arachnothera magna,1339
446,Aramides albiventris,1343
447,Aramides axillaris,1344
448,Aramides cajaneus,1345
449,Aramides saracura,1348
450,Aramides wolfi,1349
451,Aramides ypecaha,1350
452,Aramus guarauna,1352
453,Aratinga auricapillus,1357
454,Aratinga jandaya,1372
455,Aratinga nenday,1379
456,Aratinga weddellii,1388
457,Arborophila atrogularis,1390
458,Arborophila brunneopectus,1391
459,Arborophila crudigularis,1394
460,Arborophila hyperythra,1398
461,Arborophila javanica,1399
462,Arborophila mandellii,1400
463,Arborophila rufogularis,1405
464,Arborophila torqueola,1407
465,Archilochus alexandri,1410
466,Archilochus colubris,1411
467,Ardea alba,1433
468,Ardea cinerea,1437
469,Ardea cocoi,1438
470,Ardea herodias,1441
471,Ardea intermedia,1435
472,Ardea melanocephala,1446
473,Ardea purpurea,1448
474,Ardea sumatrana,1449
475,Ardenna bulleri,1450
476,Ardenna carneipes,1451
477,Ardenna creatopus,1452
478,Ardenna grisea,1454
479,Ardenna pacifica,1455
480,Ardenna tenuirostris,1456
481,Ardeola bacchus,1457
482,Ardeola grayii,1458
483,Ardeola ralloides,1459
484,Ardeola speciosa,1461
485,Arenaria interpres,1468
486,Arenaria melanocephala,1469
487,Argusianus argus,1474
488,Argya affinis,1475
489,Argya caudata,1478
490,Argya earlei,1481
491,Argya malcolmi,1486
492,Argya striata,1492
493,Argya subrufa,1493
494,Arizelocichla masukuensis,1507
495,Arizelocichla milanjensis,1508
496,Arizelocichla nigriceps,1511
497,Arremon abeillei,1523
498,Arremon assimilis,1525
499,Arremon atricapillus,1526
500,Arremon aurantiirostris,1527
501,Arremon basilicus,1528
502,Arremon brunneinucha,1529
503,Arremon castaneiceps,1530
504,Arremon costaricensis,1531
505,Arremon crassirostris,1532
506,Arremon flavirostris,1534
507,Arremon franciscanus,1535
508,Arremon perijanus,1536
509,Arremon schlegeli,1539
510,Arremon semitorquatus,1540
511,Arremon taciturnus,1541
512,Arremon torquatus,1542
513,Arremon virenticeps,1543
514,Arremonops chloronotus,1544
515,Arremonops conirostris,1545
516,Arremonops rufivirgatus,1546
517,Arremonops tocuyensis,1547
518,Arses telescopthalmus,1551
519,Artamus cinereus,1553
520,Artamus cyanopterus,1554
521,Artamus fuscus,1555
522,Artamus leucorynchus,1557
523,Artamus personatus,1562
524,Artamus superciliosus,1563
525,Artemisiospiza belli,1565
526,Artemisiospiza nevadensis,1566
527,Artisornis metopias,1587
528,Artisornis moreaui,1588
529,Arundinax aedon,1591
530,Arundinicola leucocephala,1593
531,Asemospiza fuliginosa,1606
532,Asemospiza obscura,1607
533,Asio clamator,1610
534,Asio flammeus,1612
535,Asio grammicus,1613
536,Asio otus,1615
537,Asio stygius,1617
538,Aspatha gularis,1625
539,Asthenes anthoides,1630
540,Asthenes baeri,1635
541,Asthenes coryi,1638
542,Asthenes dorbignyi,1632
543,Asthenes flammulata,1639
544,Asthenes fuliginosa,1640
545,Asthenes griseomurina,1641
546,Asthenes harterti,1642
547,Asthenes helleri,1643
548,Asthenes heterura,1644
549,Asthenes hudsoni,1646
550,Asthenes humilis,1648
551,Asthenes maculicauda,1650
552,Asthenes modesta,1651
553,Asthenes moreirae,1652
554,Asthenes ottonis,1653
555,Asthenes palpebralis,1654
556,Asthenes perijana,1656
557,Asthenes pudibunda,1657
558,Asthenes pyrrholeuca,1658
559,Asthenes sclateri,1659
560,Asthenes urubambensis,1661
561,Asthenes virgata,1662
562,Asthenes wyatti,1663
563,Atalotriccus pilaris,1680
564,Atelornis crossleyi,1706
565,Atelornis pittoides,1707
566,Athene blewitti,1708
567,Athene brama,1709
568,Athene cunicularia,1710
569,Athene noctua,1715
570,Athene superciliaris,1716
571,Atimastillas flavicollis,1717
572,Atlanticus testaceus,1728
573,Atlapetes albinucha,1731
574,Atlapetes albofrenatus,1732
575,Atlapetes citrinellus,1735
576,Atlapetes flaviceps,1737
577,Atlapetes fulviceps,1739
578,Atlapetes fuscoolivaceus,1740
579,Atlapetes latinuchus,1741
580,Atlapetes leucopis,1742
581,Atlapetes leucopterus,1743
582,Atlapetes melanocephalus,1745
583,Atlapetes melanolaemus,1746
584,Atlapetes pallidiceps,1751
585,Atlapetes pallidinucha,1752
586,Atlapetes personatus,1753
587,Atlapetes pileatus,1754
588,Atlapetes rufigenis,1755
589,Atlapetes rufinucha,1756
590,Atlapetes schistaceus,1757
591,Atlapetes semirufus,1760
592,Atlapetes tibialis,1761
593,Atlapetes tricolor,1762
594,Atrichornis clamosus,1770
595,Atrichornis rufescens,1771
596,Attagis gayi,1776
597,Atticora fasciata,1778
598,Atticora pileata,1780
599,Atticora tibialis,1781
600,Attila bolivianus,1782
601,Attila cinnamomeus,1783
602,Attila citriniventris,1784
603,Attila phoenicurus,1785
604,Attila rufus,1786
605,Attila spadiceus,1787
606,Attila torridus,1788
607,Augastes lumachella,1789
608,Augastes scutatus,1790
609,Aulacorhynchus albivitta,1793
610,Aulacorhynchus coeruleicinctis,1796
611,Aulacorhynchus derbianus,1797
612,Aulacorhynchus haematopygus,1798
613,Aulacorhynchus prasinus,1800
614,Aulacorhynchus sulcatus,1801
615,Auriparus flaviceps,1804
616,Automolus exsertus,1826
617,Automolus infuscatus,1827
618,Automolus leucophthalmus,1829
619,Automolus melanopezus,1830
620,Automolus ochrolaemus,1825
621,Automolus paraensis,1831
622,Automolus rufipileatus,1834
623,Automolus subulatus,1835
624,Aviceda jerdoni,1839
625,Aviceda leuphotes,1840
626,Aviceda subcristata,1842
627,Aythya affinis,1847
628,Aythya americana,1848
629,Aythya collaris,1850
630,Aythya ferina,1851
631,Aythya fuligula,1852
632,Aythya marila,1854
633,Aythya nyroca,1856
634,Aythya valisineria,1857
635,Baeolophus atricristatus,1868
636,Baeolophus bicolor,1869
637,Baeolophus inornatus,1870
638,Baeolophus ridgwayi,1871
639,Baeolophus wollweberi,1872
640,Baeopogon indicator,1874
641,Balearica regulorum,1890
642,Bambusicola fytchii,1894
643,Bambusicola sonorivox,1895
644,Bambusicola thoracicus,1896
645,Bangsia aureocincta,1898
646,Bangsia edwardsi,1899
647,Bangsia melanochlamys,1901
648,Barnardius zonarius,1919
649,Bartramia longicauda,1920
650,Baryphthengus martii,1923
651,Baryphthengus ruficapillus,1924
652,Basileuterus belli,1926
653,Basileuterus culicivorus,1927
654,Basileuterus delattrii,1928
655,Basileuterus lachrymosus,1931
656,Basileuterus melanogenys,1932
657,Basileuterus melanotis,1933
658,Basileuterus rufifrons,1929
659,Basileuterus trifasciatus,1936
660,Basileuterus tristriatus,1937
661,Basilinna leucotis,1938
662,Batara cinerea,1950
663,Bathmocercus rufus,1954
664,Batis capensis,1955
665,Batis erlangeri,1959
666,Batis mixta,1966
667,Batis molitor,1967
668,Batis orientalis,1970
669,Batis perkeo,1971
670,Batis pririt,1972
671,Batis soror,1974
672,Batrachostomus affinis,1978
673,Batrachostomus auritus,1979
674,Batrachostomus cornutus,1981
675,Batrachostomus hodgsoni,1983
676,Batrachostomus moniliger,1986
677,Batrachostomus septimus,1988
678,Batrachostomus stellatus,1989
679,Berenicornis comatus,2009
680,Berlepschia rikeri,2010
681,Bernieria madagascariensis,2011
682,Bias musicus,2016
683,Biatas nigropectus,2017
684,Biziura lobata,2030
685,Bleda canicapillus,2032
686,Bleda notatus,2034
687,Bleda syndactylus,2035
688,Blythipicus pyrrhotis,2038
689,Blythipicus rubiginosus,2039
690,Boissonneaua flavescens,2113
691,Boissonneaua jardini,2114
692,Boissonneaua matthewsii,2115
693,Bolbopsittacus lunulatus,2126
694,Bolborhynchus lineola,2128
695,Bolborhynchus orbygnesius,2129
696,Bolemoreus frenatus,2131
697,Bombycilla cedrorum,2161
698,Bombycilla garrulus,2162
699,Bombycilla japonica,2163
700,Bonasa umbellus,2166
701,Bostrychia carunculata,2187
702,Bostrychia hagedash,2188
703,Botaurus lentiginosus,2197
704,Botaurus stellaris,2202
