label_id,label_type,name,name_type,name_source
63,species,retspa1,ml_species_code,SpeciesMapping_11
64,species,Accipiter fasciatus,scientific,SpeciesMapping_11
64,species,Brown Goshawk,common_en,SpeciesMapping_11
64,species,Tachyspiza fasciata,scientific,SpeciesMapping_11
64,species,brogos1,ml_species_code,SpeciesMapping_11
65,species,Accipiter francesiae,scientific,SpeciesMapping_11
65,species,Frances's Sparrowhawk,common_en,SpeciesMapping_11
65,species,Tachyspiza francesiae,scientific,SpeciesMapping_11
65,species,fragos2,ml_species_code,SpeciesMapping_11
66,species,Accipiter griseiceps,scientific,SpeciesMapping_11
67,species,Accipiter gularis,scientific,SpeciesMapping_11
67,species,Japanese Sparrowhawk,common_en,SpeciesMapping_11
67,species,Tachyspiza gularis,scientific,SpeciesMapping_11
67,species,japspa1,ml_species_code,SpeciesMapping_11
68,species,Accipiter gundlachi,scientific,SpeciesMapping_11
68,species,Astur gundlachi,scientific,SpeciesMapping_11
68,species,Gundlach's Hawk,common_en,SpeciesMapping_11
68,species,gunhaw1,ml_species_code,SpeciesMapping_11
69,species,Accipiter haplochrous,scientific,SpeciesMapping_11
69,species,New Caledonian Goshawk,common_en,SpeciesMapping_11
69,species,Tachyspiza haplochroa,scientific,SpeciesMapping_11
69,species,necgos1,ml_species_code,SpeciesMapping_11
70,species,Accipiter henicogrammus,scientific,SpeciesMapping_11
70,species,Moluccan Goshawk,common_en,SpeciesMapping_11
70,species,Tachyspiza henicogramma,scientific,SpeciesMapping_11
70,species,molgos1,ml_species_code,SpeciesMapping_11
71,species,Accipiter henstii,scientific,SpeciesMapping_11
71,species,Astur henstii,scientific,SpeciesMapping_11
71,species,Henst's Goshawk,common_en,SpeciesMapping_11
71,species,hengos1,ml_species_code,SpeciesMapping_11
72,species,Accipiter hiogaster,scientific,SpeciesMapping_11
72,species,Tachyspiza hiogaster,scientific,SpeciesMapping_11
72,species,Variable Goshawk,common_en,SpeciesMapping_11
72,species,vargos1,ml_species_code,SpeciesMapping_11
73,species,Accipiter madagascariensis,scientific,SpeciesMapping_11
73,species,Madagascar Sparrowhawk,common_en,SpeciesMapping_11
73,species,madspa1,ml_species_code,SpeciesMapping_11
74,species,Accipiter melanochlamys,scientific,SpeciesMapping_11
75,species,Accipiter melanoleucus,scientific,SpeciesMapping_11
75,species,Astur melanoleucus,scientific,SpeciesMapping_11
75,species,Black Goshawk,common_en,SpeciesMapping_11
75,species,blagos1,ml_species_code,SpeciesMapping_11
76,species,Accipiter meyerianus,scientific,SpeciesMapping_11
77,species,Accipiter minullus,scientific,SpeciesMapping_11
77,species,Little Sparrowhawk,common_en,SpeciesMapping_11
77,species,Tachyspiza minulla,scientific,SpeciesMapping_11
77,species,litspa1,ml_species_code,SpeciesMapping_11
78,species,Accipiter nanus,scientific,SpeciesMapping_11
78,species,Small Sparrowhawk,common_en,SpeciesMapping_11
78,species,Tachyspiza nanus,scientific,SpeciesMapping_11
78,species,smaspa1,ml_species_code,SpeciesMapping_11
79,species,Accipiter nisus,scientific,SpeciesMapping_11
79,species,Eurasian Sparrowhawk,common_en,SpeciesMapping_11
79,species,eurspa1,ml_species_code,SpeciesMapping_11
80,species,Accipiter novaehollandiae,scientific,SpeciesMapping_11
80,species,Gray Goshawk,common_en,SpeciesMapping_11
80,species,Tachyspiza novaehollandiae,scientific,SpeciesMapping_11
80,species,grygos1,ml_species_code,SpeciesMapping_11
81,species,Accipiter ovampensis,scientific,SpeciesMapping_11
