id,name,english,german,gbif,class,order
4880,Cyanocorax chrysops,Plush-crested Jay,Kappenblaurabe,Cyanocorax chrysops,Aves,Passeriformes
4881,Cyanocorax cristatellus,Curl-crested Jay,Krauskopf-Blaurabe,Cyanocorax cristatellus,Aves,Passeriformes
4882,Cyanocorax cyanomelas,Purplish Jay,Purpurblaurabe,Cyanocorax cyanomelas,Aves,Passeriformes
4883,Cyanocorax cyanopogon,White-naped Jay,Weißnacken-Blaurabe,Cyanocorax cyanopogon,Aves,Passeriformes
4884,Cyanocorax dickeyi,Tufted Jay,Schopfblaurabe,Cyanocorax dickeyi,Aves,Passeriformes
4885,Cyanocorax heilprini,Azure-naped Jay,Azurnacken-Blaurabe,Cyanocorax heilprini,Aves,Passeriformes
4886,Cyanocorax luxuosus,Green Jay,Grünblaurabe,Cyanocorax luxuosus,Aves,Passeriformes
4887,Cyanocorax melanocyaneus,Bushy-crested Jay,Hartlaubblaurabe,Cyanocorax melanocyaneus,Aves,Passeriformes
4888,Cyanocorax morio,Brown Jay,Braunhäher,Psilorhinus morio,Aves,Passeriformes
4890,Cyanocorax mystacalis,White-tailed Jay,Weißschwanz-Blaurabe,Cyanocorax mystacalis,Aves,Passeriformes
4891,Cyanocorax sanblasianus,San Blas Jay,Acapulcoblaurabe,Cyanocorax sanblasianus,Aves,Passeriformes
4892,Cyanocorax violaceus,Violaceous Jay,Hyazinthblaurabe,Cyanocorax violaceus,Aves,Passeriformes
4893,Cyanocorax yncas,Inca Jay,Inkablaurabe,Cyanocorax yncas,Aves,Passeriformes
4894,Cyanocorax yucatanicus,Yucatan Jay,Yucatánblaurabe,Cyanocorax yucatanicus,Aves,Passeriformes
4895,Cyanoderma ambiguum,,,Stachyridopsis ambigua,Aves,Passeriformes
4896,Cyanoderma bicolor,Grey-hooded Babbler,Zweifarb-Buschtimalie,Stachyris erythroptera,Aves,Passeriformes
4897,Cyanoderma erythropterum,Chestnut-winged Babbler,Rotflügel-Buschtimalie,Stachyris erythroptera,Aves,Passeriformes
4898,Cyanoderma chrysaeum,Golden Babbler,Goldbuschtimalie,Stachyridopsis chrysaea,Aves,Passeriformes
4899,Cyanoderma melanothorax,Crescent-chested Babbler,Schwarzstrich-Buschtimalie,Stachyris melanothorax,Aves,Passeriformes
4900,Cyanoderma pyrrhops,Black-chinned Babbler,Schwarzkinn-Buschtimalie,Stachyridopsis pyrrhops,Aves,Passeriformes
4901,Cyanoderma ruficeps,Rufous-capped Babbler,Rotkopf-Buschtimalie,Stachyridopsis ruficeps,Aves,Passeriformes
4902,Cyanoderma rufifrons,Rufous-fronted Babbler,Rotstirn-Buschtimalie,Stachyridopsis rufifrons,Aves,Passeriformes
4903,Cyanolanius comorensis,Comoro Blue Vanga,Komorenvanga,Cyanolanius madagascarinus,Aves,Passeriformes
4904,Cyanolanius madagascarinus,Madagascar Blue Vanga,Blauvanga,Cyanolanius madagascarinus,Aves,Passeriformes
4905,Cyanoliseus patagonus,Burrowing Parrot,Felsensittich,Cyanoliseus patagonus,Aves,Psittaciformes
4906,Cyanoloxia brissonii,Ultramarine Grosbeak,Ultramarinkardinal,Cyanoloxia brissonii,Aves,Passeriformes
4907,Cyanoloxia glaucocaerulea,Glaucous-blue Grosbeak,Türkiskardinal,Cyanoloxia glaucocaerulea,Aves,Passeriformes
4908,Cyanoloxia rothschildii,Amazonian Grosbeak,Azurstirnkardinal,Cyanoloxia rothschildii,Aves,Passeriformes
4909,Cyanolyca argentigula,Silvery-throated Jay,Silberkehlhäher,Cyanolyca argentigula,Aves,Passeriformes
4910,Cyanolyca armillata,Black-collared Jay,Schwarzbandhäher,Cyanolyca armillata,Aves,Passeriformes
4911,Cyanolyca cucullata,Azure-hooded Jay,Blaukappenhäher,Cyanolyca cucullata,Aves,Passeriformes
4912,Cyanolyca mirabilis,White-throated Jay,Weißkehlhäher,Cyanolyca mirabilis,Aves,Passeriformes
4913,Cyanolyca nanus,Dwarf Jay,Zwerghäher,Cyanolyca nanus,Aves,Passeriformes
4914,Cyanolyca pulchra,Beautiful Jay,Schmuckhäher,Cyanolyca pulchra,Aves,Passeriformes
4915,Cyanolyca pumilo,Black-throated Jay,Schwarzkehlhäher,Cyanolyca pumilo,Aves,Passeriformes
4916,Cyanolyca turcosa,Turquoise Jay,Türkishäher,Cyanolyca turcosa,Aves,Passeriformes
4917,Cyanolyca viridicyanus,White-collared Jay,Weißbandhäher,Cyanolyca viridicyanus,Aves,Passeriformes
4918,Cyanomitra alinae,Blue-headed Sunbird,Ruwenzorinektarvogel,Cyanomitra alinae,Aves,Passeriformes
4919,Cyanomitra bannermani,Bannerman's Sunbird,Bannerman-Nektarvogel,Cyanomitra bannermani,Aves,Passeriformes
4920,Cyanomitra cyanolaema,Blue-throated Brown Sunbird,Braunrücken-Nektarvogel,Cyanomitra cyanolaema,Aves,Passeriformes
4921,Cyanomitra olivacea,Olive Sunbird,Olivnektarvogel,Cyanomitra olivacea,Aves,Passeriformes
4922,Cyanomitra oritis,Cameroon Sunbird,Blaukopf-Nektarvogel,Cyanomitra oritis,Aves,Passeriformes
4923,Cyanomitra veroxii,Grey Sunbird,Graunektarvogel,Cyanomitra veroxii,Aves,Passeriformes
4924,Cyanomitra verticalis,Green-headed Sunbird,Grünkopf-Nektarvogel,Cyanomitra verticalis,Aves,Passeriformes
4925,Cyanopica cooki,Iberian Magpie,Blauelster,Cyanopica cooki,Aves,Passeriformes
4926,Cyanopica cyanus,Azure-winged Magpie,Azurelster,Cyanopica cyanus,Aves,Passeriformes
4927,Cyanopsitta spixii,Spix's Macaw,Spixara,Cyanopsitta spixii,Aves,Psittaciformes
4928,Cyanoptila cumatilis,Zappey's Flycatcher,Türkisblauschnäpper,Cyanoptila cumatilis,Aves,Passeriformes
4929,Cyanoptila cyanomelana,Blue-and-white Flycatcher,Taigablauschnäpper,Cyanoptila cyanomelana,Aves,Passeriformes
4930,Cyanoramphus auriceps,Yellow-crowned Parakeet,Springsittich,Cyanoramphus auriceps,Aves,Psittaciformes
4931,Cyanoramphus cookii,Norfolk Parakeet,Norfolksittich,Cyanoramphus cookii,Aves,Psittaciformes
4932,Cyanoramphus forbesi,Chatham Islands Parakeet,Chathamsittich,Cyanoramphus forbesi,Aves,Psittaciformes
4933,Cyanoramphus malherbi,Malherbe's Parakeet,Malherbesittich,Cyanoramphus malherbi,Aves,Psittaciformes
4934,Cyanoramphus novaezelandiae,Red-crowned Parakeet,Ziegensittich,Cyanoramphus novaezelandiae,Aves,Psittaciformes
4935,Cyanoramphus saisseti,New Caledonian Parakeet,Neukaledoniensittich,Cyanoramphus saisseti,Aves,Psittaciformes
4936,Cyathea dealbata,,,,,
4937,Cyclarhis gujanensis,Rufous-browed Peppershrike,Rostbrauenvireo,Cyclarhis gujanensis,Aves,Passeriformes
4938,Cyclarhis nigrirostris,Black-billed Peppershrike,Schwarzschnabelvireo,Cyclarhis nigrirostris,Aves,Passeriformes
4939,Cyclochila australasiae,,,Cyclochila australasiae,Insecta,Hemiptera
4940,Cyclochila virens,,,Cyclochila virens,Insecta,Hemiptera
4941,Cyclopsitta desmarestii,Large Fig-Parrot,,,Aves,Psittaciformes
4942,Cyclopsitta diophthalma,Double-eyed Fig Parrot,Maskenzwergpapagei,Cyclopsitta diophthalma,Aves,Psittaciformes
4943,Cyclopsitta gulielmitertii,Blue-fronted Fig Parrot,Orangebrust-Zwergpapagei,Cyclopsitta gulielmitertii,Aves,Psittaciformes
4944,Cyclopsitta salvadorii,Salvadori's Fig-Parrot,,,Aves,Psittaciformes
4945,Cycloptiloides timah,,,Cycloptiloides timah,Insecta,Orthoptera
4946,Cycloptilum ainiktos,obscure scaly cricket,,Cycloptilum ainiktos,Insecta,Orthoptera
4947,Cycloptilum albocircum,banded scaly cricket ,,Cycloptilum albocircum,Insecta,Orthoptera
4948,Cycloptilum bidens,two-toothed scaly cricke,,Cycloptilum bidens,Insecta,Orthoptera
4949,Cycloptilum comprehendens,Cycloptilum comprehendens,,Cycloptilum comprehendens,Insecta,Orthoptera
4950,Cycloptilum distinctum,,,Cycloptilum distinctum,Insecta,Orthoptera
4951,Cycloptilum exsanguis,pale scaly cricket,,Cycloptilum exsanguis,Insecta,Orthoptera
4952,Cycloptilum irregularis,Keys scaly cricket,,Cycloptilum irregularis,Insecta,Orthoptera
4953,Cycloptilum kelainopum,black-faced scaly cricket,,Cycloptilum kelainopum,Insecta,Orthoptera
4954,Cycloptilum pigrum,reluctant scaly cricket,,Cycloptilum pigrum,Insecta,Orthoptera
4955,Cycloptilum quatrainum,four-pair scaly cricket,,Cycloptilum quatrainum,Insecta,Orthoptera
4956,Cycloptilum slossoni,Slossom's scaly cricket,,Cycloptilum slossoni,Insecta,Orthoptera
4957,Cycloptilum sp,Cycloptilum sp,,,Insecta,Orthoptera
4958,Cycloptilum spectabile,spectacular scaly cricket,,Cycloptilum spectabile,Insecta,Orthoptera
4959,Cycloptilum squamosum,Scudder's Scaly Bush Cricket,,Cycloptilum squamosum,Insecta,Orthoptera
4960,Cycloptilum tardum,slow scaly cricket,,Cycloptilum tardum,Insecta,Orthoptera
4961,Cycloptilum trigonipalpum,forest scaly cricket,,Cycloptilum trigonipalpum,Insecta,Orthoptera
4962,Cycloptilum velox,swift scaly cricket,,Cycloptilum velox,Insecta,Orthoptera
4963,Cycloptilum zebra,zebra scaly cricket,,Cycloptilum zebra,Insecta,Orthoptera
4964,Cycloptilum,Cycloptilum,,,Insecta,Orthoptera
4965,Cycloramphus boraceiensis,Cycloramphus boraceiensis,,Cycloramphus boraceiensis,Amphibia,Anura
4966,Cycloramphus brasiliensis,Cycloramphus brasiliensis,,Cycloramphus brasiliensis,Amphibia,Anura
4967,Cycloramphus cedrensis,Cycloramphus cedrensis,,Cycloramphus cedrensis,Amphibia,Anura
4968,Cycloramphus izecksohni,Cycloramphus izecksohni,,Cycloramphus izecksohni,Amphibia,Anura
4969,Cycloramphus ohausi,Cycloramphus ohausi,,Cycloramphus ohausi,Amphibia,Anura
4970,Cycloramphus rhyakonastes,Cycloramphus rhyakonastes,,Cycloramphus rhyakonastes,Amphibia,Anura
4971,Cycloramphus semipalmatus,Cycloramphus semipalmatus,,Cycloramphus semipalmatus,Amphibia,Anura
4972,Cycloramphus valae,Cycloramphus valae,,Cycloramphus valae,Amphibia,Anura
4973,Cycloramphus,Cycloramphus,,,Amphibia,Anura
4974,Cygnus atratus,Black Swan,Schwarzschwan,Cygnus atratus,Aves,Anseriformes
4975,Cygnus buccinator,Trumpeter Swan,Trompeterschwan,Cygnus buccinator,Aves,Anseriformes
4976,Cygnus columbianus,Tundra Swan,Zwergschwan,Cygnus columbianus,Aves,Anseriformes
4977,Cygnus cygnus,Whooper Swan,Singschwan,Cygnus cygnus,Aves,Anseriformes
4978,Cygnus melancoryphus,Black-necked Swan,Schwarzhalsschwan,Cygnus melancoryphus,Aves,Anseriformes
4979,Cygnus olor,Mute Swan,Höckerschwan,Cygnus olor,Aves,Anseriformes
4980,Cymbilaimus lineatus,Fasciated Antshrike,Zebraameisenwürger,Cymbilaimus lineatus,Aves,Passeriformes
4981,Cymbilaimus sanctaemariae,Bamboo Antshrike,Bambusameisenwürger,Cymbilaimus sanctaemariae,Aves,Passeriformes
4982,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,Karminbreitrachen,Cymbirhynchus macrorhynchos,Aves,Passeriformes
4983,Cynanthus auriceps,Golden-crowned Emerald,Goldscheitel-Smaragdkolibri,Cynanthus auriceps,Aves,Apodiformes
4984,Cynanthus canivetii,Canivet's Emerald,Gabelschwanz-Smaragdkolibri,Cynanthus canivetii,Aves,Apodiformes
4985,Cynanthus doubledayi,Turquoise-crowned Hummingbird,Blaugesichtkolibri,Cynanthus doubledayi,Aves,Apodiformes
4986,Cynanthus forficatus,Cozumel Emerald,Schwalbenschwanz-Smaragdkolibri,Cynanthus forficatus,Aves,Apodiformes
4987,Cynanthus latirostris,Broad-billed Hummingbird,Breitschnabelkolibri,Cynanthus latirostris,Aves,Apodiformes
4988,Cynictis penicillata,,,Cynictis penicillata,Mammalia,Carnivora
4989,Cynomops greenhalli,,,Cynomops greenhalli,Mammalia,Chiroptera
4990,Cynomys gunnisoni,Gunnison's prairie dog,,Cynomys gunnisoni,Mammalia,Rodentia
4991,Cynomys leucurus x gunnisoni,White-tailed x Gunnison's Prairie Dog (hybrid),,,,
4992,Cynomys leucurus,white-tailed prairie dog,,Cynomys leucurus,Mammalia,Rodentia
4993,Cynomys ludovicianus,Arizona black-tailed prairie dog,,Cynomys ludovicianus,Mammalia,Rodentia
4994,Cynomys mexicanus,Mexican prairie dog,,Cynomys mexicanus,Mammalia,Rodentia
4995,Cynomys parvidens,Utah prairie dog,,Cynomys parvidens,Mammalia,Rodentia
4996,Cynomys,Cynomys,,,Mammalia,Rodentia
4997,Cynopterus brachyotis,,,Cynopterus brachyotis,Mammalia,Chiroptera
4998,Cynopterus sphinx,,,Cynopterus sphinx,Mammalia,Chiroptera
4999,Cynoscion jamaicensis,Jamaica weakfish,,Cynoscion jamaicensis,,Perciformes
5000,Cynoscion nebulosus,Seatrout,,Cynoscion nebulosus,,Perciformes
5001,Cynoscion regalis,Bastard trout,,Cynoscion regalis,,Perciformes
5002,Cyornis banyumas,Javan Blue Flycatcher,Bergblauschnäpper,Cyornis banyumas,Aves,Passeriformes
5003,Cyornis brunneatus,Brown-chested Jungle Flycatcher,Weißkehl-Dschungelschnäpper,Rhinomyias brunneatus,Aves,Passeriformes
5004,Cyornis caerulatus,Sunda Blue Flycatcher,Sundablauschnäpper,Cyornis caerulatus,Aves,Passeriformes
5005,Cyornis colonus,Sula Jungle Flycatcher,Suladschungelschnäpper,Rhinomyias colonus,Aves,Passeriformes
5006,Cyornis pelingensis,Banggai Jungle Flycatcher,Pelengdschungelschnäpper,Rhinomyias colonus,Aves,Passeriformes
5007,Leucoptilon concretum,White-tailed Flycatcher,Weißschwanz-Blauschnäpper,Cyornis concretus,Aves,Passeriformes
5009,Cyornis djampeanus,,,Cyornis djampeanus,Aves,Passeriformes
5010,Cyornis glaucicomans,Chinese Blue Flycatcher,Chinablauschnäpper,Cyornis glaucicomans,Aves,Passeriformes
5011,Cyornis hainanus,Hainan Blue Flycatcher,Hainanblauschnäpper,Cyornis hainanus,Aves,Passeriformes
5012,Cyornis herioti,Blue-breasted Blue Flycatcher,Heriotblauschnäpper,Cyornis herioti,Aves,Passeriformes
5013,Eumyias hoevelli,Blue-fronted Blue Flycatcher,Celebesblauschnäpper,Cyornis hoevelli,Aves,Passeriformes
5015,Eumyias hyacinthinus,Timor Blue Flycatcher,Hyazinthblauschnäpper,Cyornis hyacinthinus,Aves,Passeriformes
5017,Cyornis kadayangensis,Meratus Blue Flycatcher,Meratusblauschnäpper,Cyornis kadayangensis,Aves,Passeriformes
5018,Cyornis lemprieri,Palawan Blue Flycatcher,Palawanblauschnäpper,Cyornis lemprieri,Aves,Passeriformes
5019,Cyornis magnirostris,Large Blue Flycatcher,Dickschnabel-Blauschnäpper,Cyornis magnirostris,Aves,Passeriformes
5020,Cyornis montanus,Dayak Blue Flycatcher,Borneoblauschnäpper,Cyornis montanus,Aves,Passeriformes
5021,Cyornis nicobaricus,Nicobar Jungle Flycatcher,Nikobaren-Dschungelschnäpper,Rhinomyias nicobaricus,Aves,Passeriformes
5022,Cyornis ocularis,Sulu Jungle Flycatcher,Suludschungelschnäpper,Cyornis ocularis,Aves,Passeriformes
5023,Cyornis olivaceus,Fulvous-chested Jungle Flycatcher,Olivrücken-Dschungelschnäpper,Rhinomyias olivaceus,Aves,Passeriformes
5024,Cyornis omissus,Sulawesi Blue Flycatcher,Sulawesiblauschnäpper,Cyornis omissus,Aves,Passeriformes
5026,Cyornis stresemanni,,,Rhinomyias oscillans,Aves,Passeriformes
5027,Eumyias oscillans,Flores Jungle Flycatcher,Floresdschungelschnäpper,Rhinomyias oscillans,Aves,Passeriformes
5028,Cyornis pallidipes,White-bellied Blue Flycatcher,Keralablauschnäpper,Cyornis pallidipes,Aves,Passeriformes
5029,Cyornis poliogenys,Pale-chinned Flycatcher,Graublauschnäpper,Cyornis poliogenys,Aves,Passeriformes
5030,Cyornis rubeculoides,Blue-throated Blue Flycatcher,Blaukehl-Blauschnäpper,Cyornis rubeculoides,Aves,Passeriformes
5031,Cyornis ruficauda,Philippine Jungle Flycatcher,Rotschwanz-Dschungelschnäpper,Rhinomyias ruficauda,Aves,Passeriformes
5032,Cyornis ruficrissa,Crocker Jungle Flycatcher,Kinabaludschungelschnäpper/,Rhinomyias ruficauda,Aves,Passeriformes
5033,Cyornis rufigastra,Mangrove Blue Flycatcher,Mangroveblauschnäpper,Cyornis rufigastra,Aves,Passeriformes
5034,Eumyias sanfordi,Matinan Blue Flycatcher,Sanford-Blauschnäpper,Cyornis sanfordi,Aves,Passeriformes
5036,Cyornis sumatrensis,Indochinese Blue Flycatcher,Indochina-Blauschnäpper,Cyornis tickelliae,Aves,Passeriformes
5037,Cyornis tickelliae,Tickell's Blue Flycatcher,Tickellblauschnäpper,Cyornis tickelliae,Aves,Passeriformes
5038,Cyornis superbus,Bornean Blue Flycatcher,Prachtblauschnäpper,Cyornis superbus,Aves,Passeriformes
5039,Cyornis turcosus,Malaysian Blue Flycatcher,Malaienblauschnäpper,Cyornis turcosus,Aves,Passeriformes
5040,Cyornis umbratilis,Grey-chested Jungle Flycatcher,Graubrust-Dschungelschnäpper,Rhinomyias umbratilis,Aves,Passeriformes
5041,Cyornis unicolor,Pale Blue Flycatcher,Einfarb-Blauschnäpper,Cyornis unicolor,Aves,Passeriformes
5042,Cyornis whitei,Hill Blue Flycatcher,Hügelblauschnäpper,Cyornis whitei,Aves,Passeriformes
5043,Cyperus eragrostis,,,,,
5044,Cyphoderris buckelli,,,Cyphoderris buckelli,Insecta,Orthoptera
5045,Cyphoderris monstrosa,,,Cyphoderris monstrosa,Insecta,Orthoptera
5046,Cyphorhinus arada,Musician Wren,Orpheuszaunkönig,Cyphorhinus arada,Aves,Passeriformes
5047,Cyphorhinus dichrous,Northern Chestnut-breasted Wren,,Cyphorhinus dichrous,Aves,Passeriformes
5048,Cyphorhinus phaeocephalus,Song Wren,Brillenzaunkönig,Cyphorhinus phaeocephalus,Aves,Passeriformes
5049,Cyphorhinus thoracicus,Southern Chestnut-breasted Wren,Kastanienbrust-Zaunkönig,Cyphorhinus thoracicus,Aves,Passeriformes
5050,Cyprinidae,Minnows,,,,
5051,Cyprinus carpio,Cyprinus carpio,,Cyprinus carpio,,Cypriniformes
5052,Cypripedium acaule,,,,,
5053,Cypripedium parviflorum,,,,,
5054,Cypseloides cherriei,Spot-fronted Swift,Diademsegler,Cypseloides cherriei,Aves,Apodiformes
5055,Cypseloides cryptus,White-chinned Swift,Weißkinnsegler,Cypseloides cryptus,Aves,Apodiformes
5056,Cypseloides fumigatus,Sooty Swift,Rauchsegler,Cypseloides fumigatus,Aves,Apodiformes
5057,Cypseloides lemosi,White-chested Swift,Brustflecksegler,Cypseloides lemosi,Aves,Apodiformes
5058,Cypseloides niger,American Black Swift,Schwarzsegler,Cypseloides niger,Aves,Apodiformes
5059,Cypseloides rothschildi,Rothschild's Swift,Rothschildsegler,Cypseloides rothschildi,Aves,Apodiformes
5060,Cypseloides senex,Great Dusky Swift,Rußsegler,Cypseloides senex,Aves,Apodiformes
5061,Cypseloides storeri,White-fronted Swift,Weißstirnsegler,Cypseloides storeri,Aves,Apodiformes
5062,Cypsiurus balasiensis,Asian Palm Swift,Bengalensegler,Cypsiurus balasiensis,Aves,Apodiformes
5063,Cypsiurus gracilis,Malagasy Palm Swift,Madagaskarpalmsegler,Cypsiurus gracilis,Aves,Apodiformes
5064,Cypsiurus parvus,African Palm Swift,Palmensegler,Cypsiurus parvus,Aves,Apodiformes
5065,Cypsnagra hirundinacea,White-rumped Tanager,Weißbürzeltangare,Cypsnagra hirundinacea,Aves,Passeriformes
5066,Cyrtaspis scutata,,,Cyrtaspis scutata,Insecta,Orthoptera
5067,Cyrtodactylus deccanensis,,,Cyrtodactylus deccanensis,Squamata,
5068,Cyrtonyx montezumae,Montezuma Quail,Montezumawachtel,Cyrtonyx montezumae,Aves,Galliformes
5069,Cyrtonyx ocellatus,Ocellated Quail,Tränenwachtel,Cyrtonyx ocellatus,Aves,Galliformes
5070,Cyrtophyllicus chlorum,,,Cyrtophyllicus chlorum,Insecta,Orthoptera
5071,Cyrtoxipha clarki,Cyrtoxipha clarki,,Cyrtoxipha clarki,Insecta,Orthoptera
5072,Cyrtoxipha columbiana,Columbian trig,,Cyrtoxipha columbiana,Insecta,Orthoptera
5073,Cyrtoxipha confusa,complex-trilling trig,,Cyrtoxipha confusa,Insecta,Orthoptera
5074,Cyrtoxipha gundlachi,Gundlach_x0019_s trig,,Cyrtoxipha gundlachi,Insecta,Orthoptera
5075,Cyrtoxipha nola,mangrove trig,,Cyrtoxipha nola,Insecta,Orthoptera
5076,Cyrtoxipha,Cyrtoxipha,,,Insecta,Orthoptera
5077,Cystopsaltria immaculata,,,Cystopsaltria immaculata,Insecta,Hemiptera
5078,Cystosoma saundersii,,,Cystosoma saundersii,Insecta,Hemiptera
5079,Cystosoma schmeltzi,,,Cystosoma schmeltzi,Insecta,Hemiptera
5080,Cytisus scoparius,,,,,
5081,Dacelo gaudichaud,Rufous-bellied Kookaburra,Rotbauchliest,Dacelo gaudichaud,Aves,Coraciiformes
5082,Dacelo leachii,Blue-winged Kookaburra,Blauflügelliest,Dacelo leachii,Aves,Coraciiformes
5083,Dacelo novaeguineae,Laughing Kookaburra,Jägerliest,Dacelo novaeguineae,Aves,Coraciiformes
5084,Dacelo tyro,Spangled Kookaburra,Aruliest,Dacelo tyro,Aves,Coraciiformes
5085,Dacnis albiventris,White-bellied Dacnis,Weißbauchpitpit,Dacnis albiventris,Aves,Passeriformes
5086,Dacnis berlepschi,Scarlet-breasted Dacnis,Rotbrustpitpit,Dacnis berlepschi,Aves,Passeriformes
5087,Dacnis cayana,Blue Dacnis,Blaukopfpitpit,Dacnis cayana,Aves,Passeriformes
5088,Dacnis egregia,Yellow-tufted Dacnis,Gelbsteißpitpit,Dacnis egregia,Aves,Passeriformes
5089,Dacnis flaviventer,Yellow-bellied Dacnis,Gelbbauchpitpit,Dacnis flaviventer,Aves,Passeriformes
5090,Dacnis hartlaubi,Turquoise Dacnis,Türkispitpit,Dacnis hartlaubi,Aves,Passeriformes
5091,Dacnis lineata,Black-faced Dacnis,Maskenpitpit,Dacnis lineata,Aves,Passeriformes
5092,Dacnis nigripes,Black-legged Dacnis,Blauflügelpitpit,Dacnis nigripes,Aves,Passeriformes
5093,Dacnis venusta,Scarlet-thighed Dacnis,Rotschenkelpitpit,Dacnis venusta,Aves,Passeriformes
5094,Dacnis viguieri,Viridian Dacnis,Grünflügelpitpit,Dacnis viguieri,Aves,Passeriformes
5095,Dacrydium cupressinum,,,Dacrydium cupressinum,Bivalvia,Mytilida
5096,Dactylis glomerata,,,,,
5097,Hoplodactylus pacificus,Hoplodactylus pacificus,,Dactylocnemis pacificus,Squamata,
5098,Dactylomys boliviensis,Bolivian Bamboo Rat,,Dactylomys boliviensis,Mammalia,Rodentia
5099,Dactylomys dactylinus,Amazon Bamboo Rat,,Dactylomys dactylinus,Mammalia,Rodentia
5100,Dactylomys peruanus,Montane Bamboo Rat,,Dactylomys peruanus,Mammalia,Rodentia
5101,Dactylomys,Dactylomys,,,Mammalia,Rodentia
5102,Dactylortyx thoracicus,Singing Quail,Singwachtel,Dactylortyx thoracicus,Aves,Galliformes
5103,Daintria australicus,,,Daintria australicus,Insecta,Orthoptera
5104,Dama dama,,,Dama dama,Mammalia,Artiodactyla
5105,Damaliscus pygargus,Bontebok,,Damaliscus pygargus,Mammalia,Artiodactyla
5106,Danaus plexippus,,,Danaus plexippus,Insecta,Lepidoptera
5107,Daphne mezereum,,,,,
5108,Daphoenositta chrysoptera,Varied Sittella,Spiegelkleiber,Daphoenositta chrysoptera,Aves,Passeriformes
5109,Daphoenositta miranda,Black Sittella,Prachtkleiber,Daphoenositta miranda,Aves,Passeriformes
5110,Daphoenositta papuensis,Papuan Sittella,Papuakleiber,Daphoenositta papuensis,Aves,Passeriformes
5111,Daption capense,Pintado Petrel,Kapsturmvogel,Daption capense,Aves,Procellariiformes
5112,Phalcoboenus albogularis,White-throated Caracara,Weißkehlkarakara,Phalcoboenus albogularis,Aves,Falconiformes
5113,Daptrius ater,Black Caracara,Gelbkehlkarakara,Daptrius ater,Aves,Falconiformes
5114,Phalcoboenus australis,Striated Caracara,Falklandkarakara,Phalcoboenus australis,Aves,Falconiformes
5115,Phalcoboenus carunculatus,Carunculated Caracara,Streifenkarakara,Phalcoboenus carunculatus,Aves,Falconiformes
5116,Milvago chimachima,Yellow-headed Caracara,Gelbkopfkarakara,Milvago chimachima,Aves,Falconiformes
5117,Milvago chimango,Chimango Caracara,Chimangokarakara,Milvago chimango,Aves,Falconiformes
5118,Phalcoboenus megalopterus,Mountain Caracara,Bergkarakara,Phalcoboenus megalopterus,Aves,Falconiformes
5119,Darapsa choerilus,,,Darapsa choerilus,Insecta,Lepidoptera
5120,Dasycrotapha plateni,Mindanao Pygmy Babbler,Mindanaobrillenvogel,Dasycrotapha plateni,Aves,Passeriformes
5121,Dasycrotapha pygmaea,Visayan Pygmy Babbler,Koboldbrillenvogel,Dasycrotapha pygmaea,Aves,Passeriformes
5122,Dasycrotapha speciosa,Flame-templed Babbler,Goldstirn-Brillenvogel,Dasycrotapha speciosa,Aves,Passeriformes
5123,Dasygnathus trituberculatus,,,Dasygnathus trituberculatus,Insecta,Coleoptera
5124,Dasylabris atrata,,,Dasylabris atrata,Insecta,Hymenoptera
5125,Dasylirion wheeleri,,,,,
5126,Dasylophus cumingi,Scale-feathered Malkoha,Schuppenhalskuckuck,Lepidogrammus cumingi,Aves,Cuculiformes
5127,Dasylophus superciliosus,Rough-crested Malkoha,Rotbrauenkuckuck,Dasylophus superciliosus,Aves,Cuculiformes
5128,Dasymutilla occidentalis,,,Dasymutilla occidentalis,Insecta,Hymenoptera
5129,Dasymutilla vestita,,,Dasymutilla vestita,Insecta,Hymenoptera
5130,Dasyornis brachypterus,Eastern Bristlebird,Olivscheitel-Borstenvogel,Dasyornis brachypterus,Aves,Passeriformes
5131,Dasyornis broadbenti,Rufous Bristlebird,Rotkopf-Borstenvogel,Dasyornis broadbenti,Aves,Passeriformes
5132,Dasyornis longirostris,Western Bristlebird,Tüpfelborstenvogel,Dasyornis longirostris,Aves,Passeriformes
5133,Dasypeltis scabra,,,Dasypeltis scabra,Squamata,
5134,Dasyprocta azarae,Azara's Agouti,,Dasyprocta azarae,Mammalia,Rodentia
5135,Dasyprocta punctata,Guaqueque centroamericano,,Dasyprocta punctata,Mammalia,Rodentia
5136,Dasyprocta,Dasyprocta,,,Mammalia,Rodentia
5137,Dasypterus ega,,,Dasypterus ega,Mammalia,Chiroptera
5139,Lasiurus intermedius,,,Dasypterus intermedius,Mammalia,Chiroptera
5140,Lasiurus xanthinus,,,Dasypterus xanthinus,Mammalia,Chiroptera
5141,Dasypus novemcinctus,Nine-banded Armadillo,,Dasypus novemcinctus,Mammalia,Cingulata
5142,Dasyurus maculatus,,,Dasyurus maculatus,Mammalia,Dasyuromorphia
5143,Datura wrightii,,,,,
5144,Daucus carota,,,,,
5145,Decapoda,"Crabs, Shrimp,  and relatives",,,Malacostraca,Decapoda
5146,Deconychura longicauda,Northern Long-tailed Woodcreeper,Langschwanz-Baumsteiger,Deconychura longicauda,Aves,Passeriformes
5147,Deconychura pallida,Southern Long-tailed Woodcreeper,,Deconychura pallida,Aves,Passeriformes
5148,Deconychura typica,Little Long-tailed Woodcreeper,,Deconychura typica,Aves,Passeriformes
